"anm-goat-title","Goat"
"anm-goat","Barely useful as a pack animal, but has interesting interactions with specific crew members."
"st-produce-goat-milk-title","Dairy goat"
"st-produce-goat-milk","This domesticated animal may be milked every 3 days by someone with herding experience."
"it-goat-milk-name","Goat milk"
"it-goat-milk","A gallon of goat milk. Spoils quickly if not refrigerated. Restores sanity."
"cl-it-goat-milk","[Ahhhhh!|Refreshing!|Tasty!|Does my body good.|Smooth and creamy.|That hit the spot.|I wish I had some cookies to dunk in this.|How does my moustache look?|I moustache you a question...|Down the hatch.]"
"it-goat-cheese-sour-name","Sour goat cheese"
"it-goat-cheese-sour","The nauseating flavor from this cheese will linger for an exceptionally long time. Restores sanity."
"it-goat-cheese-tangy-name","Tangy goat cheese"
"it-goat-cheese-tangy","This round of cheese has a unique 'goaty' flavor. Restores sanity."
"it-goat-cheese-perfect-name","Goat cheese"
"it-goat-cheese-perfect","A perfectly made round of cheese. Restores sanity."
"cl-item-goat-cheese-sour","[You made it wrong!|Served to the Queen, you would be beheaded for such!|This tastes like poo!|A travesty of cooking.|Was the milk left out to spoil before making this?|I could cook better than this blindfolded!|Quality must mean naught where you come from!|This tastes awful!|You shame the Empire with such cooking.|You should be ashamed!|I’ve seen rats with better culinary skills!|You should be flogged.|The smell is nauseating.]"
"cl-item-goat-cheese-tangy","[It's a bit dry.|Not bad, considering.|Is cheese supposed to be this crunchy?|It’ll have to do.|I will make do.|Could be worse.|I've eaten worse.|It's better than nothing.|It takes a bit of getting used to.|I've eaten far worse.|I need something to wash this down.]"
"cl-item-goat-cheese-perfect","[The finest cheese I've ever tasted.|Oh, how very yummy.|A wine would go well with this.|This is something special.|What a treat.|Simply super.|The cook deserves a medal.|The Queen would be smiling.|I could eat this all day, every day.]"
"evt-altar-revive-animal","[The icy clear water looked quite refreshing to me, I just had to reach in.|An odd reflection shimmered in a corner of the coffin.|How clumsy, my pocket watch dropped into the pool as I leaned over, I had to reach in to retrieve it, of course.] [Then something licked my hand, it felt as cold as the grave.|To my surprise I felt an oddly familiar friend!|Suddenly it was as if my hand was caught by the mouth of a devilish creature.] [I recoiled in horror|Golly, a familiar face at last|It could not be, this was beyond rational science, impossible] - $name emerged out of the stone coffin. I was lost for words. It was really $him."
"evt-quest-sacrifice-goat","[I was conversing with the crew about preparations when|As I was reviewing our list of goods,|I was gazing out to sea, deep in thought about our next journey when|I was relating an embarassing story to the crew, involving awkward eye contact with the captain and a foul-smelling lavatory, when] I heard a barely audible *ahem* behind me. I [spun on my heels and stopped|spun about - clumsily,|pirouetted 180 degrees with perfect grace,] to see [an eccentrically|an elegantly|a bizzarely|a strangely]-dressed individual, that requested an audience. [With an excited look upon $his face|Rapid and breathless|With eyes wide and unblinking], $he spoke at length of the [virtues|power|omnipotence|righteousness|benevolence] of a Great Old One. [I thought $he would drone on forever until|Minute after minute passed until|It felt like an hour had come and gone when|Half the crew was asleep when] [suddenly $he|abruptly $he stopped and|$he finally fell silent for a moment, then] asked if, during our journey, I'd [permit|allow] our cultist to complete a ritual at an _altar_: a _sacrifice_ of a living creature to [Hastur|Ithaqua|Nyarlathotep|Cthugha|Cthulhu|Shub-Niggurath|Dagon|Ghatanothoa]. $He [looked at me expectantly|shifted nervously|wrung $his hands and licked $his lips suspicously|stared at me passively] while awaiting my answer."
"evt-quest-sacrifice-goat-accept","The cultist [appeared relieved|must've been holding $his breath because $he gasped for air|nearly attempted to hug me] once I accepted $his request. Eventually, $he simply nodded in my direction and quickly left the ship."
"evt-quest-sacrifice-goat-refuse","I refused. [I would not endanger our journey with this absurdity|I never was particularly religious or spiritual, much preffering rationality and science overall|The task was repugnant to me and I did not want to get involved in such matters]."
"st-sacrifice-goat-title","Sacrifice to a Great Old One"
